timestamp_iso,elapsed_s,run_id,controller_type,phase,stage_index,target_temp_c,vessel_temp_c,jacket_temp_c,jacket_minus_vessel_c,heater_pwm_percent,requested_heater_pwm_percent,fan_state,jacket_vessel_gap_warning,safety_limited,safety_reason,ambient_temp_c,pwm_step_start_elapsed_s,seconds_since_pwm_change,arduino_heater_reply,arduino_fan_reply
2026-05-20T13:44:56,26.21,water_dynamics_20_36_r2_recoverable_jacket_20260520,open_loop_data,baseline_water,1,34.00,26.80,25.30,-1.50,0,0,0,0,0,,26.70,2.21,24.00,OK:THERMAL_ACC=00,OK:FAN_OFF
2026-05-20T13:44:57,27.21,water_dynamics_20_36_r2_recoverable_jacket_20260520,open_loop_data,baseline_water,1,34.00,26.80,25.30,-1.50,0,0,0,0,0,,26.70,2.21,25.00,OK:THERMAL_ACC=00,OK:FAN_OFF
2026-05-20T13:44:58,28.21,water_dynamics_20_36_r2_recoverable_jacket_20260520,open_loop_data,baseline_water,1,34.00,26.80,25.40,-1.40,0,0,0,0,0,,26.70,2.21,26.00,OK:THERMAL_ACC=00,OK:FAN_OFF
2026-05-20T13:44:59,29.21,water_dynamics_20_36_r2_recoverable_jacket_20260520,open_loop_data,baseline_water,1,34.00,26.80,25.40,-1.40,0,0,0,0,0,,26.70,2.21,27.00,OK:THERMAL_ACC=00,OK:FAN_OFF
2026-05-20T13:45:00,30.21,water_dynamics_20_36_r2_recoverable_jacket_20260520,open_loop_data,baseline_water,1,34.00,26.80,25.40,-1.40,0,0,0,0,0,,26.70,2.21,28.00,OK:THERMAL_ACC=00,OK:FAN_OFF
2026-05-20T13:45:01,31.21,water_dynamics_20_36_r2_recoverable_jacket_20260520,open_loop_data,baseline_water,1,34.00,26.70,25.40,-1.30,0,0,0,0,0,,26.70,2.21,29.00,OK:THERMAL_ACC=00,OK:FAN_OFF
2026-05-20T13:45:02,32.21,water_dynamics_20_36_r2_recoverable_jacket_20260520,open_loop_data,baseline_water,1,34.00,26.70,25.30,-1.40,0,0,0,0,0,,26.70,2.21,30.00,OK:THERMAL_ACC=00,OK:FAN_OFF
2026-05-20T13:45:03,33.21,water_dynamics_20_36_r2_recoverable_jacket_20260520,open_loop_data,baseline_water,1,34.00,26.70,25.30,-1.40,0,0,0,0,0,,26.70,2.21,31.00,OK:THERMAL_ACC=00,OK:FAN_OFF
2026-05-20T13:45:04,34.21,water_dynamics_20_36_r2_recoverable_jacket_20260520,open_loop_data,baseline_water,1,34.00,26.80,25.30,-1.50,0,0,0,0,0,,26.70,2.21,32.00,OK:THERMAL_ACC=00,OK:FAN_OFF
2026-05-20T13:45:05,35.21,water_dynamics_20_36_r2_recoverable_jacket_20260520,open_loop_data,baseline_water,1,34.00,26.80,25.30,-1.50,0,0,0,0,0,,26.70,2.21,33.00,OK:THERMAL_ACC=00,OK:FAN_OFF
2026-05-20T13:45:06,36.21,water_dynamics_20_36_r2_recoverable_jacket_20260520,open_loop_data,baseline_water,1,34.00,26.80,25.30,-1.50,0,0,0,0,0,,26.70,2.21,34.00,OK:THERMAL_ACC=00,OK:FAN_OFF
2026-05-20T13:45:07,37.21,water_dynamics_20_36_r2_recoverable_jacket_20260520,open_loop_data,baseline_water,1,34.00,26.80,25.30,-1.50,0,0,0,0,0,,26.70,2.21,35.00,OK:THERMAL_ACC=00,OK:FAN_OFF
